"WellID","ID","treat","Name","Concentration","dilution","timepoint","meanOD","log_conc","log_OD","Concentration_corrected"
"SPL1","O7","SLD","unk",125.464393819488,2,1,0.6345,2.09852049265568,-0.197568373569276,250.928787638975
"SPL10","Y14","A","unk",200.071974185247,2,13,0.5275,2.30118625750608,-0.27777753603027,400.143948370495
"SPL11","Y13","SLD","unk",288.282135761374,2,13,0.4565,2.4598177309049,-0.340559218129682,576.564271522747
"SPL12","R11","SLD","unk",880.084558570512,2,13,0.2935,2.94452440119145,-0.532391894416367,1760.16911714102
"SPL13","O107","SA","unk",291.498222630463,2,19,0.4545,2.4646359110534,-0.342466112442014,582.996445260925
"SPL14","O121","A","unk",142.094997978415,2,19,0.604,2.15257879018216,-0.218963061378868,284.189995956829
"SPL15","P7","A","unk",214.142758600936,2,19,0.5135,2.33070339298509,-0.289459552066703,428.285517201872
"SPL16","P18","SLD","unk",3006.02230109406,2,19,0.1805,3.47799219820903,-0.743522793758323,6012.04460218812
"SPL17","B17","SLD","unk",371.284184215016,2,19,0.413,2.56970644975285,-0.384049948343599,742.568368430033
"SPL18","P11","SLD","unk",123.7325707714,2,19,0.638,2.09248403628519,-0.195179321278838,247.4651415428
"SPL19","B10","SA","unk",111.429635038394,2.59,1,0.665,2.04700070809123,-0.177178354696895,288.602754749439
"SPL2","P2","LD","unk",502.09112706011,2,1,0.3665,2.70078254660263,-0.435926021022853,1004.18225412022
"SPL20","O100","SA","unk",123.977923130087,2,13,0.6375,2.09334435680425,-0.195519810894007,247.955846260175
"SPL21","SD4",NA,"unk",118.425134215273,1,NA,0.649166666666667,2.07344388560113,-0.18764378837506,118.425134215273
"SPL22","SD4",NA,"unk",111.077592364508,1,NA,0.665833333333333,2.04562645773522,-0.176634466733633,111.077592364508
"SPL3","R200","A","unk",316.384450404538,2,1,0.44,2.50021513073761,-0.356547323513813,632.768900809076
"SPL4","Y16","LD","unk",297.248019515645,2,1,0.451,2.47311896971195,-0.345823458122039,594.496039031289
"SPL5","O92","SLD","unk",192.605678679661,2,7,0.5355,2.28466908747639,-0.271240524832126,385.211357359321
"SPL6","O123","SLD","unk",107.91043856748,2,7,0.6735,2.03306345759284,-0.171662399940996,215.82087713496
"SPL7","P14","LD","unk",140.035579106463,2,7,0.6075,2.14623839172471,-0.21645371772965,280.071158212925
"SPL8","G3","A","unk",757.197085231555,2,7,0.3115,2.87920893351378,-0.506541949004812,1514.39417046311
"SPL9","B19","SA","unk",1722.55091062926,2,13,0.225,3.23617206650339,-0.647817481888638,3445.10182125852
"STD1","std",NA,"standard",1000,1,NA,0.2405,3,-0.618884919290149,1000
"STD2","std",NA,"standard",500,1,NA,0.365,2.69897000433602,-0.437707135543525,500
"STD3","std",NA,"standard",250,1,NA,0.5215,2.39794000867204,-0.28274568723745,250
"STD4","std",NA,"standard",125,1,NA,0.7195,2.09691001300806,-0.142969201727376,125
"STD5","std",NA,"standard",62.5,1,NA,0.9335,1.79588001734408,-0.0298856777149029,62.5
"STD6","std",NA,"standard",31.2,1,NA,1.1225,1.49415459401844,0.0501863496753608,31.2
"STD7","std",NA,"standard",15.6,1,NA,1.2135,1.19312459835446,0.0840397806679535,15.6
"STD8","std",NA,"standard",0,1,NA,1.2995,-Inf,0.113776283837031,0
